Unnamed: 0,level_0,index,submission_id,need_state,sub_cluster_init,macro_pillar,created_at,open_text,l1,l2,ontology_codes,tm_needs,needs_from_ontology,needs,location_name,weights,needs list,mood_coded,where_are_you_having_your_food_drink,activities_while_consuming,created_at_grouped,level1_ontology_from_pepsi_bev_3_1,level3_ontology_from_pepsi_bev_3_1,SB_needstates,global_subcluster_number,global_subcluster_name
0,0,0,15310776,Hydrate,1.0,Hydrate,2021-01-01 01:13:23.879,"[""I was thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,1.626914750689369,['To quench my thirst'],"[""Neutral / fine""]",At my home,"[""Spending time with family"", ""Watching movies / TV"", ""Talking / chatting"", ""Spending time with pets""]",12am-3am,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Refresh,17,Thirst Quench
1,1,1,15310935,Fuel,0.0,Fuel,2021-01-01 01:14:20.726,"[""It\u2019s was on discount at the supermarket so I thought maybe I should buy couple of cans"", ""It\u2019s was on discount at the supermarket so I thought maybe I should buy couple of cans"", ""It\u2019s was on discount at the supermarket so I thought maybe I should buy couple of cans"", ""It\u2019s was on discount at the supermarket so I thought maybe I should buy couple of cans"", ""It\u2019s was on discount at the supermarket so I thought maybe I should buy couple of cans""]","[""buy"", ""could"", ""so thought"", ""liked the can"", ""discount""]","[""NOISE""]","[""Cheap / affordable""]","[""NOISE""]","[""Good value for money""]","[""Good value for money""]",UK,0.4103707404165745,['Good value for money'],"[""Great / amazing""]",At my home,"[""Talking / chatting"", ""Spending time with family""]",12am-3am,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Routine,9,Easy Fuel
2,2,2,15310987,Hydrate,1.0,Hydrate,2021-01-01 01:25:36.821,"[""I\u2019m really thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.5774326855186428,['To quench my thirst'],"[""Great / amazing""]",At my home,"[""Spending time with partner / on a date""]",12am-3am,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Refresh,17,Thirst Quench
3,3,3,15311135,Health,0.0,Health,2021-01-01 01:23:21.880,"[""It is sugar free and no calories and they seem to help me to relax at night and the right drink for me as I am not drinking alcohol at the moment"", ""It is sugar free and no calories and they seem to help me to relax at night and the right drink for me as I am not drinking alcohol at the moment"", ""It is sugar free and no calories and they seem to help me to relax at night and the right drink for me as I am not drinking alcohol at the moment""]","[""right drink"", ""water or sugar-free"", ""no calories""]","[""sugar-free"", ""no calories""]","[""It's a healthy choice"", ""To relax / relieve stress / anxiety""]","[""No / low sugar"", ""Low in (/zero) calories""]","[""Is nutritious / healthy"", ""To relax & unwind""]","[""No / low sugar"", ""Low in (/zero) calories""]",UK,0.454903898448279,"['No / low sugar', 'Low in (/zero) calories']","[""Content / upbeat""]",At my home,"[""Spending time with partner / on a date""]",12am-3am,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Keeps health balanced,37,Sure & Easy
4,4,4,15311215,Fuel,1.0,Fuel,2021-01-01 01:28:21.114,"[""It gives energy and has high caffeine which I need right now"", ""It gives energy and has high caffeine which I need right now""]","[""did something with caffeine"", ""bought energy""]","[""to give me energy"", ""caffeine related""]","[""To boost energy""]","[""Gives me a boost / energy"", ""Has caffeine""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy"", ""Has caffeine""]",UK,0.3433536916944832,"['Gives me a boost / energy', 'Has caffeine']","[""Neutral / fine""]",At my home,"[""Relaxing / resting""]",12am-3am,"[""Soft drinks""]","[""Energy drink""]",Revive,7,Perk Up
5,5,5,15311222,Connection,1.0,Connection,2021-01-01 01:25:33 +0000,"[""as a wine it\u2019s a bit rare to find it in the UK since it\u2019s a greek product so I wanted to try it"", ""as a wine it\u2019s a bit rare to find it in the UK since it\u2019s a greek product so I wanted to try it"", ""as a wine it\u2019s a bit rare to find it in the UK since it\u2019s a greek product so I wanted to try it"", ""as a wine it\u2019s a bit rare to find it in the UK since it\u2019s a greek product so I wanted to try it"", ""as a wine it\u2019s a bit rare to find it in the UK since it\u2019s a greek product so I wanted to try it""]","[""rare to find it in the uk"", ""to find"", ""must try"", ""greek product"", ""fancy a glass of wine""]","[""fancy a glass of wine"", ""wanted to try it""]","[""To try something new / different""]","[""To explore something new"", ""To have something that is fun or playful""]","[""To explore something new""]","[""To explore something new"", ""To have something that is fun or playful""]",UK,0.3161078281357603,"['To explore something new', 'To have something that is fun or playful']","[""Content / upbeat""]",At my home,"[""Relaxing / resting"", ""Talking / chatting"", ""Spending time with family""]",12am-3am,"[""Other Distilled""]","[""Port""]",Ease the mood,4,Jolly Time
6,6,6,15311255,Health,1.0,Health,2021-01-01 01:33:50.638,"[""Refreshing and thirst quenching"", ""Refreshing and thirst quenching""]","[""bought it to quench my thirst"", ""To refresh""]","[""To refresh"", ""quench my thirst""]","[""I had a craving"", ""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""To quench my thirst""]","[""To indulge"", ""To rehydrate my body""]","[""To feel energised / recharged"", ""To quench my thirst""]",UK,0.5195716242348716,"['To feel energised / recharged', 'To quench my thirst']","[""Content / upbeat"", ""Relaxed / calm""]",At my home,"[""Watching movies / TV"", ""On my laptop / phone"", ""Spending time with pets"", ""Browsing social media / internet""]",12am-3am,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Healthy Hydration Levels,11,Hydrate
7,7,7,15311305,Fuel,2.0,Fuel,2021-01-01 10:59:10.289,"[""I always have a coffee in the morning"", ""I always have a coffee in the morning""]","[""usually take coffee"", ""always have it""]","[""always have it""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.3936770788425242,"[""It's my habit / routine""]","[""Content / upbeat""]",At my home,"[""Listening to a podcast / radio""]",9am-12pm,"[""Hot beverages""]",,Routine,8,Daily Enabler
8,8,8,15311328,Hydrate,2.0,Health,2021-01-01 01:58:53.641,"[""it really quenches my thirst and it tastes really great. its also pretty good for me as its mostly water"", ""it really quenches my thirst and it tastes really great. its also pretty good for me as its mostly water"", ""it really quenches my thirst and it tastes really great. its also pretty good for me as its mostly water"", ""it really quenches my thirst and it tastes really great. its also pretty good for me as its mostly water""]","[""has taste"", ""decided to take some water"", ""great"", ""i quench""]","[""has taste"", ""wanted water"", ""quench my thirst""]","[""I like the taste"", ""I had a craving""]","[""To rehydrate my body"", ""Is tasty"", ""To quench my thirst""]","[""Is tasty"", ""To indulge""]","[""To rehydrate my body"", ""Is tasty"", ""To quench my thirst""]",UK,0.1222882435919417,"['To rehydrate my body', 'Is tasty', 'To quench my thirst']","[""Great / amazing"", ""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",12am-3am,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Healthy Hydration Levels,11,Hydrate
9,9,9,15311676,Indulge,1.0,Indulge,2021-01-01 01:47:43.559,"[""I fancied something orange flavoured and this was a good option"", ""I fancied something orange flavoured and this was a good option""]","[""this option is the best"", ""fancied something orange flavoured""]","[""NOISE""]","[""I like the taste""]","[""NOISE""]","[""Is tasty""]","[""Is tasty""]",UK,0.3431778831295979,['Is tasty'],"[""Hopeful / optimistic""]",At my home,"[""Relaxing / resting""]",12am-3am,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Treat,20,Relish
